epoch,train_loss,val_loss
1,5.144203e-01,2.319489e-01
2,1.799085e-01,1.457482e-01
3,9.730200e-02,8.396502e-02
4,6.850957e-02,7.357434e-02
5,5.699006e-02,5.404207e-02
6,4.709566e-02,4.818860e-02
7,3.790741e-02,4.074764e-02
8,3.373978e-02,3.953704e-02
9,3.082903e-02,3.603652e-02
10,2.935102e-02,3.139733e-02
11,2.766318e-02,3.322176e-02
12,2.835421e-02,2.921102e-02
13,2.419345e-02,2.939896e-02
14,2.263272e-02,3.159545e-02
15,2.110730e-02,2.781887e-02
16,2.108025e-02,2.849755e-02
17,2.055115e-02,2.664877e-02
18,2.224346e-02,2.739332e-02
19,2.377712e-02,2.652967e-02
20,1.918289e-02,2.646216e-02
21,1.805082e-02,2.284915e-02
22,1.726959e-02,2.367899e-02
23,1.725930e-02,2.103838e-02
24,1.715479e-02,2.091144e-02
25,1.618169e-02,1.884113e-02
26,1.504171e-02,2.101271e-02
27,1.571441e-02,1.965626e-02
28,1.560200e-02,1.857502e-02
29,1.507307e-02,2.207156e-02
30,1.566894e-02,2.246796e-02
31,1.607836e-02,2.100969e-02
32,1.643585e-02,2.330532e-02
33,1.621776e-02,1.888461e-02
34,1.614895e-02,2.065895e-02
35,1.489447e-02,2.095803e-02
36,1.503417e-02,2.080256e-02
37,1.618876e-02,2.114700e-02
38,1.546133e-02,2.282762e-02
39,1.557417e-02,2.116913e-02
40,1.545551e-02,2.286871e-02
41,1.478838e-02,1.957187e-02
42,1.413157e-02,1.997563e-02
43,1.461152e-02,2.254981e-02
44,1.340971e-02,2.076849e-02
45,1.241918e-02,1.862214e-02
46,1.238511e-02,1.874912e-02
47,1.296214e-02,1.905404e-02
48,1.309236e-02,1.881550e-02
49,1.324574e-02,1.882388e-02
50,1.192861e-02,1.857924e-02
51,1.554968e-02,1.938358e-02
52,1.266732e-02,1.792060e-02
53,1.153239e-02,1.701780e-02
54,1.110540e-02,1.770500e-02
55,1.121131e-02,1.738600e-02
56,1.041628e-02,1.936666e-02
57,1.126694e-02,1.714462e-02
58,1.106274e-02,1.638168e-02
59,1.145545e-02,1.796369e-02
60,1.122427e-02,1.779067e-02
61,1.179693e-02,1.674212e-02
62,1.140926e-02,1.886990e-02
63,1.142362e-02,1.818665e-02
64,1.109881e-02,1.783668e-02
65,9.601328e-03,1.786322e-02
66,1.078015e-02,1.550596e-02
67,9.702035e-03,1.555781e-02
68,8.843917e-03,1.667763e-02
69,8.934971e-03,1.609203e-02
70,9.791991e-03,1.780498e-02
71,9.940992e-03,1.513567e-02
72,1.102996e-02,1.675495e-02
73,9.777713e-03,1.910057e-02
74,1.056605e-02,1.761313e-02
75,1.003449e-02,1.565820e-02
76,1.001437e-02,1.530193e-02
77,9.772612e-03,1.567961e-02
78,1.124959e-02,1.823647e-02
79,1.075399e-02,1.669976e-02
80,9.937957e-03,1.984114e-02
81,1.127168e-02,1.640938e-02
82,9.990373e-03,1.742180e-02
83,9.536491e-03,1.750971e-02
84,9.015685e-03,1.649155e-02
85,1.004344e-02,1.770876e-02
86,9.583727e-03,1.581659e-02
87,9.109738e-03,1.557538e-02
88,8.648152e-03,1.743066e-02
89,1.015537e-02,1.704954e-02
90,9.371999e-03,1.584647e-02
91,9.156017e-03,1.389916e-02
92,7.882715e-03,1.559737e-02
93,8.258307e-03,1.509429e-02
94,7.666897e-03,1.446193e-02
95,8.645896e-03,1.426505e-02
96,8.694051e-03,1.584635e-02
97,7.950769e-03,1.546369e-02
98,8.032733e-03,1.636191e-02
99,9.011620e-03,1.510917e-02
100,8.223900e-03,1.561160e-02
101,7.791084e-03,1.550463e-02
102,7.293613e-03,1.495338e-02
103,7.212856e-03,1.367342e-02
104,7.411454e-03,1.376032e-02
105,7.308423e-03,1.503558e-02
106,7.717943e-03,1.459195e-02
107,8.122525e-03,1.313400e-02
108,7.948939e-03,1.649486e-02
109,7.309998e-03,1.418989e-02
110,6.925016e-03,1.409063e-02
111,7.624401e-03,1.402969e-02
112,7.326413e-03,1.306797e-02
113,7.120255e-03,1.435076e-02
114,8.052401e-03,1.255418e-02
115,7.669248e-03,1.349166e-02
116,6.965670e-03,1.426259e-02
117,7.358092e-03,1.435896e-02
118,6.826195e-03,1.433600e-02
119,6.664297e-03,1.233800e-02
120,6.565450e-03,1.277023e-02
121,7.341464e-03,1.358403e-02
122,6.602529e-03,1.293653e-02
123,6.217635e-03,1.368815e-02
124,6.688125e-03,1.434654e-02
125,6.168240e-03,1.251836e-02
126,6.577488e-03,1.294512e-02
127,6.389204e-03,1.289043e-02
128,6.305260e-03,1.309804e-02
129,6.617502e-03,1.407160e-02
130,6.722971e-03,1.393851e-02
131,6.685289e-03,1.279315e-02
132,6.466124e-03,1.244923e-02
133,6.685000e-03,1.297284e-02
134,5.898707e-03,1.222931e-02
135,5.988393e-03,1.212697e-02
136,6.223664e-03,1.238597e-02
137,6.817787e-03,1.414536e-02
138,7.526877e-03,1.328536e-02
139,7.295329e-03,1.336294e-02
140,6.498945e-03,1.432743e-02
141,7.484284e-03,1.404877e-02
142,6.470622e-03,1.506478e-02
143,5.713214e-03,1.273719e-02
144,5.953011e-03,1.288156e-02
145,6.022835e-03,1.285507e-02
146,5.596148e-03,1.273821e-02
147,6.088849e-03,1.256570e-02
148,5.886669e-03,1.360565e-02
149,7.166286e-03,1.342082e-02
150,6.233128e-03,1.407500e-02
