epoch,train_loss,val_loss
1,1.124908e+00,1.008258e+00
2,7.971346e-01,7.375730e-01
3,6.320070e-01,6.362937e-01
4,5.605577e-01,5.895773e-01
5,5.208380e-01,5.571267e-01
6,4.951632e-01,5.274100e-01
7,4.703435e-01,5.152097e-01
8,4.520404e-01,4.946654e-01
9,4.349976e-01,4.851311e-01
10,4.190102e-01,4.587871e-01
11,4.037514e-01,4.581224e-01
12,3.909768e-01,4.448463e-01
13,3.740463e-01,4.368056e-01
14,3.619302e-01,4.125142e-01
15,3.480111e-01,3.925119e-01
16,3.300653e-01,3.783768e-01
17,3.177925e-01,3.701444e-01
18,3.027165e-01,3.545953e-01
19,2.890654e-01,3.398798e-01
20,2.756361e-01,3.282834e-01
21,2.642035e-01,3.141587e-01
22,2.510805e-01,2.984437e-01
23,2.411516e-01,2.905149e-01
24,2.320093e-01,2.775569e-01
25,2.194525e-01,2.733700e-01
26,2.106391e-01,2.668925e-01
27,2.003015e-01,2.584484e-01
28,1.946657e-01,2.524602e-01
29,1.877727e-01,2.493331e-01
30,1.807106e-01,2.431230e-01
31,1.759834e-01,2.334287e-01
32,1.708641e-01,2.274732e-01
33,1.635361e-01,2.252045e-01
34,1.577594e-01,2.169826e-01
35,1.534857e-01,2.220594e-01
36,1.493875e-01,2.061683e-01
37,1.459993e-01,1.984339e-01
38,1.431359e-01,2.078684e-01
39,1.381289e-01,1.942466e-01
40,1.347163e-01,1.924352e-01
41,1.319182e-01,1.914609e-01
42,1.293812e-01,1.872961e-01
43,1.266551e-01,1.812554e-01
44,1.228869e-01,1.796404e-01
45,1.203876e-01,1.739288e-01
46,1.191134e-01,1.725032e-01
47,1.165673e-01,1.680960e-01
48,1.152652e-01,1.706408e-01
49,1.149113e-01,1.652514e-01
50,1.101501e-01,1.627362e-01
51,1.099329e-01,1.615806e-01
52,1.068063e-01,1.587330e-01
53,1.054322e-01,1.547638e-01
54,1.036430e-01,1.577032e-01
55,1.034823e-01,1.563548e-01
56,1.020282e-01,1.494877e-01
57,1.002687e-01,1.538855e-01
58,9.957450e-02,1.503997e-01
59,9.806186e-02,1.470705e-01
60,9.729508e-02,1.449219e-01
61,9.567981e-02,1.420655e-01
62,9.552152e-02,1.458074e-01
63,9.291884e-02,1.413755e-01
64,9.193987e-02,1.385219e-01
65,8.976613e-02,1.373707e-01
66,9.147326e-02,1.380508e-01
67,9.008662e-02,1.384632e-01
68,8.753718e-02,1.338069e-01
69,8.682457e-02,1.338509e-01
70,8.760246e-02,1.328817e-01
71,8.504432e-02,1.350414e-01
72,8.292277e-02,1.298990e-01
73,8.358615e-02,1.306487e-01
74,8.713666e-02,1.352633e-01
75,8.206787e-02,1.308895e-01
76,8.207417e-02,1.327821e-01
77,7.969092e-02,1.293143e-01
78,7.855529e-02,1.310458e-01
79,7.954259e-02,1.274864e-01
80,8.083264e-02,1.287987e-01
81,7.887187e-02,1.308629e-01
82,7.807164e-02,1.263912e-01
83,7.772449e-02,1.246664e-01
84,7.745469e-02,1.250621e-01
85,7.626778e-02,1.218320e-01
86,7.586666e-02,1.252488e-01
87,7.480475e-02,1.229563e-01
88,7.422789e-02,1.194668e-01
89,7.330483e-02,1.201354e-01
90,7.303954e-02,1.191420e-01
91,7.435271e-02,1.259121e-01
92,7.518303e-02,1.187310e-01
93,7.266397e-02,1.203034e-01
94,7.138854e-02,1.166256e-01
95,7.178876e-02,1.214912e-01
96,7.048109e-02,1.163732e-01
97,7.206085e-02,1.187754e-01
98,6.984830e-02,1.200952e-01
99,6.989391e-02,1.168131e-01
100,6.806721e-02,1.139124e-01
101,6.845687e-02,1.149223e-01
102,7.117063e-02,1.132616e-01
103,6.877294e-02,1.148621e-01
104,6.755904e-02,1.188141e-01
105,6.625395e-02,1.111617e-01
106,6.663833e-02,1.163663e-01
107,6.558486e-02,1.136965e-01
108,6.562192e-02,1.113858e-01
109,6.464438e-02,1.126817e-01
110,6.489139e-02,1.136480e-01
111,6.667370e-02,1.174466e-01
112,6.565089e-02,1.118289e-01
113,6.278981e-02,1.101853e-01
114,6.310076e-02,1.101588e-01
115,6.346263e-02,1.084015e-01
116,6.305476e-02,1.090120e-01
117,6.239851e-02,1.095658e-01
118,6.350434e-02,1.117262e-01
119,6.195041e-02,1.054666e-01
120,6.169839e-02,1.085774e-01
121,6.101433e-02,1.080126e-01
122,6.111899e-02,1.053521e-01
123,6.115695e-02,1.053394e-01
124,5.977037e-02,1.068612e-01
125,6.050472e-02,1.080543e-01
126,5.982315e-02,1.084067e-01
127,5.935732e-02,1.034464e-01
128,5.803449e-02,1.026814e-01
129,5.940970e-02,1.041496e-01
130,5.941032e-02,1.046814e-01
131,5.837136e-02,1.026384e-01
132,5.759992e-02,1.044044e-01
133,5.770851e-02,1.031257e-01
134,5.728208e-02,1.010570e-01
135,5.623001e-02,1.021043e-01
136,5.763703e-02,1.038823e-01
137,5.622610e-02,1.031066e-01
138,5.759198e-02,1.059310e-01
139,5.708348e-02,1.010268e-01
140,5.609047e-02,1.009619e-01
141,5.600105e-02,1.008555e-01
142,5.484418e-02,9.916335e-02
143,5.581222e-02,1.010483e-01
144,5.620877e-02,9.786946e-02
145,5.689982e-02,1.006239e-01
146,5.504250e-02,1.008941e-01
147,5.498187e-02,1.005336e-01
148,5.523238e-02,1.001772e-01
149,5.447164e-02,9.956669e-02
150,5.512032e-02,9.867056e-02
