epoch,train_loss,val_loss
1,1.289592e+00,1.249648e+00
2,1.124796e+00,8.774882e-01
3,5.857523e-01,4.908899e-01
4,3.705921e-01,3.834279e-01
5,3.042661e-01,3.488027e-01
6,2.545105e-01,3.058240e-01
7,2.153034e-01,2.892261e-01
8,1.884563e-01,2.663243e-01
9,1.679065e-01,2.479886e-01
10,1.555257e-01,2.425916e-01
11,1.465505e-01,2.309163e-01
12,1.410641e-01,2.119057e-01
13,1.359915e-01,2.206713e-01
14,1.324027e-01,2.055998e-01
15,1.291475e-01,2.250923e-01
16,1.271818e-01,1.976743e-01
17,1.250465e-01,2.171657e-01
18,1.233941e-01,2.058959e-01
19,1.218881e-01,2.123030e-01
20,1.199959e-01,2.258538e-01
21,1.194806e-01,2.248712e-01
22,1.182017e-01,2.130612e-01
23,1.174971e-01,2.292859e-01
24,1.167395e-01,2.246949e-01
25,1.157074e-01,2.259237e-01
26,1.150739e-01,2.036857e-01
27,1.147254e-01,2.275886e-01
28,1.136267e-01,2.094450e-01
29,1.135701e-01,2.704843e-01
30,1.133299e-01,2.209990e-01
31,1.124955e-01,2.267690e-01
32,1.122862e-01,2.183710e-01
33,1.120695e-01,2.459130e-01
34,1.117474e-01,2.024738e-01
35,1.109347e-01,2.629185e-01
36,1.108600e-01,2.130715e-01
37,1.102963e-01,2.607148e-01
38,1.103509e-01,2.197939e-01
39,1.102162e-01,2.274067e-01
40,1.097580e-01,1.986705e-01
41,1.095924e-01,2.334171e-01
42,1.089962e-01,2.354693e-01
43,1.086441e-01,2.206352e-01
44,1.086914e-01,2.270836e-01
45,1.083049e-01,2.289159e-01
46,1.079359e-01,2.610221e-01
47,1.073449e-01,2.435951e-01
48,1.073814e-01,2.374983e-01
49,1.070481e-01,2.426869e-01
50,1.067356e-01,2.268684e-01
51,1.068668e-01,2.305900e-01
52,1.063090e-01,2.304753e-01
53,1.064206e-01,2.363470e-01
54,1.059867e-01,2.467976e-01
55,1.060445e-01,2.531999e-01
56,1.053073e-01,2.197178e-01
57,1.056008e-01,2.402418e-01
58,1.050513e-01,2.488668e-01
59,1.047237e-01,2.334864e-01
60,1.050957e-01,2.558107e-01
61,1.046144e-01,2.111199e-01
62,1.043316e-01,2.295196e-01
63,1.042352e-01,2.320855e-01
64,1.038619e-01,2.250107e-01
65,1.039669e-01,2.074968e-01
66,1.041135e-01,2.356778e-01
67,1.035494e-01,2.309142e-01
68,1.034838e-01,2.223394e-01
69,1.033407e-01,2.115943e-01
70,1.029926e-01,2.640553e-01
71,1.028243e-01,2.201439e-01
72,1.031811e-01,1.999657e-01
73,1.027911e-01,2.715147e-01
74,1.028988e-01,2.169287e-01
75,1.028561e-01,2.183910e-01
76,1.023171e-01,2.076096e-01
77,1.024220e-01,1.861310e-01
78,1.020360e-01,2.291059e-01
79,1.023114e-01,2.021000e-01
80,1.021572e-01,1.950776e-01
81,1.018787e-01,2.021653e-01
82,1.017361e-01,1.997992e-01
